Company Name,URL,Category,Funding (millions USD),News
Adalo,adalo.com,Web App Development,9.8,https://venturebeat.com/2021/05/17/no-code-app-development-platform-adalo-nabs-8m/
AgilePoint,agilepoint.com,Enterprise Application Development,NI,
Airtable,airtable.com,Web App Development,617.6,https://marker.medium.com/how-airtable-can-thwart-google-microsoft-and-amazon-766e9c72b773
Akenza.io,akenza.io,IoT/Industrial automation,NI,
Akkio,akkio.com,Machine Learning,3,
Alteryx,alteryx.com,Business Intelligence,163,
Amazon Honeycode,honeycode.aws,Web App Development,Public,
Amazon SageMaker Canvas,aws.amazon.com/es/pm/sagemake,Machine Learning,NI,
Anvil,useanvil.com,Workflow automation,5,
Apache Nifi,nifi.apache.org,Business Intelligence,NI,
AppDrag,appdrag.com,Web App Development,NI,
Appeggio,appeggio.com,Web App Development,NI,
AppGyver,appgyver.com,Web App Development,11,
Appian,appian.com,Enterprise Application Development,??,
Appsheet,appsheet.com,Enterprise Application Development,18.5,
Appsmith,https://www.appsmith.com/,Web App Development,8,
AppyPie,appypie.com,Web App Development,NI,
Asana,asana.com,Workflow automation,453.2,
Astera,astera.com,Business Intelligence,NI,
Atmosphere,atmosphereiot.com,IoT/Industrial automation,NI,
Attest,askattest.com,Machine Learning,95.1,
Autocode,autocode.com,Software Development Tools,4,
Automate.io,automate.io,Workflow automation,0.15,
Backendless,backendless.com,Software Development Tools,NI,
Betty Blocks,bettyblocks.com,Enterprise Application Development,36.5,https://hypepotamus.com/feature/betty-blocks-atlanta/
BigML,bigml.com,Machine Learning,4.4,
Bildr,bildr.com,Web App Development,NI,
Bitrix24,bitrix24.com,Customer Service/CRM,NI,
Bizagi,bizagi.com,Enterprise Application Development,48,
Botmock,botmock.com,Machine Learning,NI,https://venturebeat.com/2021/11/02/walmart-to-acquire-no-code-startup-and-build-voice-apps/
BP Logix,bplogix.com,Workflow automation,NI,
Bryter,bryter.com,Workflow automation,89,
Bubble.io,bubble.io,Web App Development,100,https://techcrunch.com/2021/07/27/no-code-bubble-series-a/
Build.one,build.one,Enterprise Application Development,NI,
